hypotenuse|The side opposite the right angle in a right triangle; it is the longest side.|A right triangle has legs 8 and 15. Find its hypotenuse.|c=\sqrt{8^2+15^2}=17|The hypotenuse has length 17.
identity|An equation true for every allowed value of its variables.|Check the distributive relationship for an arbitrary real number t.|2(t+5)=2t+10|Both sides have the same value for every real t.
if-then statement|A conditional statement connecting a hypothesis to a conclusion.|Write a condition that guarantees a number is even.|n=4k\ \Rightarrow\ n=2(2k)|If an integer is a multiple of 4, then it is even.
improper fraction|A fraction with a positive denominator whose numerator is at least as large as its denominator.|Write 17/5 as a mixed number.|\frac{17}{5}=3\frac25|Seventeen fifths contains three wholes and two fifths.
inch|A customary length unit equal to one twelfth of a foot.|A strip is 18 inches long. Express its length in feet.|18\div12=1.5\text{ ft}|Twelve inches make one foot.
increasing graph|A graph whose output rises as the input increases over an interval.|A savings balance starts at 20 dollars and grows by 6 dollars each week.|B=20+6w|The positive weekly increase makes the graph rise from left to right.
independent events|Events where knowing one outcome does not change the probability of the other.|Flip a fair coin and roll a fair die. Find the probability of heads and a 2.|\frac12\cdot\frac16=\frac1{12}|The coin result does not affect the die result.
independent variable|The input selected or controlled in a relationship or model.|A taxi fare is modeled by C = 4 + 2d, where d is distance.|C=4+2d|Distance d is the input; cost depends on it.
inductive reasoning|Using observed patterns to propose a general conclusion that still needs justification.|The sums 1 + 3, 1 + 3 + 5, and 1 + 3 + 5 + 7 are squares.|4=2^2,\quad9=3^2,\quad16=4^2|These cases suggest that sums of consecutive odd numbers form squares.
inequality|A statement comparing quantities with <, >, ≤, or ≥.|An elevator can carry at most 600 kg. Write the restriction on load L.|L\le600|The equal case is allowed because 'at most' includes 600.
inscribed figure|An inner figure whose specified vertices or sides touch an outer boundary.|A square's four vertices lie on a circle of radius 5 cm.|d_{\text{square}}=10\text{ cm}|The square is inscribed in the circle, and its diagonal is the circle's diameter.
integer addition|Adding positive and negative whole-number values, including zero.|The temperature rises 12 degrees from −5 degrees.|-5+12=7|The new temperature is 7 degrees.
integer division|Dividing integers using the rules for signs.|A debt of 48 dollars is shared equally among 6 people.|-48\div6=-8|Each person's share is −8 dollars.
integer multiplication|Multiplying integers using sign rules and ordinary multiplication.|A game deducts 7 points on each of 4 penalties.|4(-7)=-28|The total score change is −28 points.
integer subtraction|Subtracting an integer, which is equivalent to adding its opposite.|Find the change from −6 degrees to 3 degrees.|3-(-6)=3+6=9|The temperature increased by 9 degrees.
integers|The positive and negative whole numbers together with zero.|List the integers strictly between −3 and 2.|\{-2,-1,0,1\}|Fractions between these values are not integers.
interest|Money charged for borrowing or earned for lending or depositing money.|A 500-dollar loan earns simple interest at 4% for one year.|I=500(0.04)(1)=20|The interest is 20 dollars, separate from the principal.
interior angles|Angles inside a polygon, or between two lines cut by a transversal.|Find the third interior angle of a triangle with angles 36° and 79°.|180^\circ-36^\circ-79^\circ=65^\circ|A triangle's interior angles total 180°.
intersect|To meet or share one or more points.|Find where the lines y = x + 1 and y = 5 meet.|x+1=5\quad\Rightarrow\quad(4,5)|The two lines share the point (4, 5).
interval|A continuous range of values between stated bounds.|Write all real temperatures from 18°C through 24°C, including both endpoints.|18\le T\le24|This closed interval includes every real value between the bounds.
inverse operations|Operations that undo one another when used with appropriate values.|Undo multiplication by 7 in the equation 7x = 63.|x=63\div7=9|Division reverses the multiplication.
inverse variation|A relationship in which the product of two variables is constant.|A job needs 24 worker-hours. Express time t for w equally productive workers.|t=\frac{24}{w},\quad w>0|Doubling the workers halves the time in this model.
irrational number|A real number that cannot be expressed as a ratio of two integers.|Classify the positive number whose square is 11.|\sqrt{11}\approx3.3166\ldots|Its decimal neither terminates nor repeats.
isometric drawing|A three-dimensional sketch using three equally scaled directions typically separated by 120°.|Sketch a 2-by-3-by-4 block along three isometric directions.|120^\circ+120^\circ+120^\circ=360^\circ|Equal axis spacing helps show three dimensions on a flat page.
isosceles triangle|A triangle with at least two equal sides.|Two sides measure 13 cm each and the base is 10 cm. Find the perimeter.|13+13+10=36\text{ cm}|The equal side lengths make the triangle isosceles.
kilo-|A metric prefix meaning one thousand.|Convert 4.7 kilometers to meters.|4.7\text{ km}=4700\text{ m}|Multiply by 1,000.
latitude|Angular position north or south of the equator.|A location is 32 degrees north of the equator.|32^\circ\text{ N}|Latitude gives north-south position, not east-west position.
least common denominator (LCD)|The smallest positive common multiple of the denominators of given fractions.|Find an LCD for fractions with denominators 8 and 12.|\mathrm{LCM}(8,12)=24|Twenty-fourths can express both fractions.
least common multiple (LCM)|The smallest positive number that is a multiple of every given positive integer.|Two lights flash every 9 and 12 seconds. When do they next flash together?|\mathrm{LCM}(9,12)=36|The first shared positive multiple is 36 seconds.
leg|One of the two sides forming the right angle in a right triangle.|A right triangle has hypotenuse 25 and one leg 7. Find the other leg.|b=\sqrt{25^2-7^2}=24|The unknown leg has length 24.
like denominators|Denominators that are the same.|Add two fractions already divided into elevenths.|\frac3{11}+\frac5{11}=\frac8{11}|Because the parts have the same size, add only their counts.
like terms|Terms with the same variable factors raised to the same powers.|Combine the terms in 6a + 2b − 4a.|6a+2b-4a=2a+2b|The a-terms combine; the b-term stays separate.
line|A straight path extending without end in both directions.|Two points A and B determine a line.|\overleftrightarrow{AB}|The arrows indicate that the path continues beyond both points.
line graph|A graph joining successive data points to show change along an ordered axis.|Daily temperatures are 12, 15, and 13 degrees.|(1,12),\ (2,15),\ (3,13)|Join neighboring days to show the rise and then the fall.
line of symmetry|A line across which reflection leaves a figure unchanged.|Reflect a rectangle centered at the origin across the y-axis.|(x,y)\mapsto(-x,y)|The left and right halves match, making the y-axis a symmetry line.
line plot|A number-line display using marks to count occurrences of data values.|Plot measurements 4, 4, 5, 7, 7, 7.|f(4)=2,\quad f(5)=1,\quad f(7)=3|Stack two marks over 4, one over 5, and three over 7.
line segment|The part of a line between two endpoints, including those endpoints.|A horizontal segment joins (−4, 2) to (3, 2). Find its length.|3-(-4)=7|The segment is 7 units long.
line symmetry|A property of a figure that matches itself after reflection across a line.|An isosceles triangle has its top vertex directly above the midpoint of its base.|x=0|When placed symmetrically about the y-axis, reflecting across that axis preserves the triangle.
linear equation|An equation whose graph is a straight line.|A fare has a fixed 3-dollar charge and 2 dollars per mile.|C=2m+3|The graph has constant slope 2 and vertical intercept 3.
linear function|A function with constant rate of change, written in the form f(x) = mx + b.|A candle starts 18 cm tall and loses 2 cm per hour.|h(t)=18-2t,\quad0\le t\le9|The height changes by the same amount each hour.
linear inequality|An inequality involving linear expressions; in two variables its graph is a half-plane.|A snack budget allows 3x + 2y to be no more than 18 dollars.|3x+2y\le18|Points on or below the budget line satisfy the inequality in the nonnegative region.
liter|A metric volume unit equal to 1,000 milliliters.|A pitcher contains 1.75 liters. Express that in milliliters.|1.75\text{ L}=1750\text{ mL}|Multiply liters by 1,000.
longitude|Angular position east or west of the prime meridian.|A location lies 81 degrees west of the prime meridian.|81^\circ\text{ W}|Longitude gives east-west position on the globe.
lower quartile|The first quartile, marking the lower quarter of ordered data under a stated convention.|Using the median-of-halves method, find Q1 for 2, 4, 6, 8, 10, 12, 14, 16.|Q_1=\frac{4+6}{2}=5|The lower half is 2, 4, 6, 8; its median is 5.
lowest terms|A fraction form whose numerator and denominator share no positive factor greater than 1.|Reduce 21/35.|\frac{21}{35}=\frac35|Divide both parts by their greatest common factor, 7.
mass|A measure of the amount of matter in an object.|A kit contains four 125-gram parts. Find the total mass.|4(125)=500\text{ g}|The kit's parts have mass 0.5 kilograms.
mean|The sum of numerical data divided by the number of values.|Find the mean of 7, 10, 13, and 18.|\frac{7+10+13+18}{4}=12|The total 48 shared equally among four values gives 12.
measure of central tendency|A statistic used to describe a center or typical value of data.|For 3, 5, 5, 11, compare three measures of center.|\text{mean}=6,\quad\text{median}=5,\quad\text{mode}=5|Different measures summarize the same data in different ways.
measurement error|The difference between a measured value and a reference or true value.|A 20 cm reference length is measured as 19.7 cm. Find the absolute error.|\lvert19.7-20\rvert=0.3\text{ cm}|The measurement is low by 0.3 cm.
median|The middle ordered value, or the average of the two middle values for an even-sized data set.|Find the median of 14, 6, 11, 8, 20.|6,8,11,14,20\quad\Rightarrow\quad\text{median}=11|Order the values before selecting the middle one.
mental math|Calculating by reasoning about numbers without written algorithms or a calculator.|Compute 25 times 16 mentally.|25(16)=25(4)(4)=100(4)=400|Regrouping creates an easy multiplication by 100.
meter|The base metric unit of length.|A hallway is 8.25 meters long. Express it in centimeters.|8.25\text{ m}=825\text{ cm}|One meter contains 100 centimeters.
metric system|A measurement system organized largely by powers of ten.|Convert 0.36 kilograms to grams.|0.36\text{ kg}=360\text{ g}|Metric prefixes describe powers-of-ten changes in unit size.
midpoint|The point halfway between a segment's endpoints.|Find the midpoint of A(1, 5) and B(7, −1).|M=\left(\frac{1+7}{2},\frac{5-1}{2}\right)=(4,2)|Average the two x-values and the two y-values.
mile|A customary length unit equal to 5,280 feet.|A route is half a mile. Express its length in feet.|\frac12(5280)=2640\text{ ft}|Half a mile equals 2,640 feet.
milli-|A metric prefix meaning one thousandth.|Convert 9 millimeters to meters.|9\text{ mm}=0.009\text{ m}|One millimeter is one thousandth of a meter.
mixed number|A whole number plus a proper fraction, written together.|Convert 23/6 to a mixed number.|\frac{23}{6}=3\frac56|Eighteen sixths make three wholes, leaving five sixths.
mode|The value or values with the greatest frequency in a data set.|Find the mode of 4, 6, 6, 6, 9, 9.|\text{mode}=6|Six appears three times, more than any other value.
monomial|A single term made from a constant and variables with nonnegative integer exponents.|Classify the expression 5x²y.|5x^2y|It is one term, so it is a monomial.
multiple|A product of a given number and an integer.|List four positive multiples of 7.|7,14,21,28|Multiply 7 by 1, 2, 3, and 4.
multiplication|Finding the product of quantities.|There are 9 trays with 6 cups each. Find the cup count.|9\cdot6=54|Multiplication counts the equal groups efficiently.
multiplication property|A rule about multiplication; this entry uses multiplying both sides of an inequality.|Multiply x/3 < 5 by the positive number 3.|\frac{x}{3}<5\quad\Rightarrow\quad x<15|Multiplying by a positive number keeps the inequality direction; a negative multiplier reverses it.
Multiplication Property of Equality|Multiplying both sides of an equation by the same number preserves equality.|A quarter of a number equals 7. Multiply both sides by 4.|\frac{x}{4}\cdot4=7\cdot4\quad\Rightarrow\quad x=28|The same multiplication is applied to both sides.
multiplicative inverse|A number that multiplies a given nonzero number to make 1.|Find the multiplicative inverse of 5/8.|\frac58\cdot\frac85=1|The inverse is 8/5. Zero has no multiplicative inverse.
mutually exclusive|Events that cannot happen on the same trial.|On one die roll, can the result be both 2 and 5?|P(2\text{ and }5)=0|The two single-roll events are mutually exclusive.
negative numbers|Numbers less than zero.|An account has a balance of −18 dollars.|-18<0|The negative sign indicates a balance below zero.
negative relationship|A pattern where larger values of one variable tend to accompany smaller values of another.|A fixed trip takes 6 hours at 40 km/h and 4 hours at 60 km/h.|t=\frac{240}{v}|As speed increases, travel time decreases.
negative slope|A slope below zero, so a line falls from left to right.|Find the slope through (1, 8) and (4, 2).|m=\frac{2-8}{4-1}=-2|For each unit right, the line goes down 2 units.
negative square root|The negative of the principal square root of a positive number.|Find the negative square root of 64.|-\sqrt{64}=-8|Squaring −8 gives 64.
net|A flat layout of faces that can fold into a three-dimensional solid.|A cube net uses six squares with side length 3 cm. Find its area.|6(3^2)=54\text{ cm}^2|The flat net has the same total area as the cube's surface.
no relationship|A data pattern with no clear association between the two variables under consideration.|Compare assigned locker numbers with students' shoe sizes.|(12,7),\ (35,9),\ (61,6),\ (88,8)|These pairs show no consistent increasing or decreasing pattern.
nonagon|A polygon with nine sides.|Find each exterior angle of a regular nonagon.|360^\circ\div9=40^\circ|Nine 40-degree turns complete a full turn.
nonlinear equation|An equation whose graph is not a straight line.|Give an equation whose graph is a parabola.|y=x^2+2|Its rate of change varies, so the graph is curved.
nonlinear function|A function without a constant rate of change across its domain.|The area of a square depends on its side length.|A(s)=s^2|Increasing the side from 2 to 3 adds 5 area units; from 3 to 4 adds 7.
number line|A straight-line model placing numbers according to their values.|Locate −2.5 between consecutive integers.|-3<-2.5<-2|It sits halfway between −3 and −2.
number-word form|Writing a number using words for large place-value units.|Express 4,200,000 with a decimal and a place-value word.|4{,}200{,}000=4.2\text{ million}|The word 'million' carries the large place-value unit.
numeral|A written symbol or group of symbols representing a number.|Write the number twenty-eight in decimal numerals.|28|The two digits together form one numeral.
numerator|The number above a fraction bar, giving how many fractional units are counted.|Five of eight equal pie slices remain.|\frac58|The numerator is 5 because five slices are counted.
obtuse angle|An angle greater than 90° and less than 180°.|A door opens through 124°. Classify its angle.|90^\circ<124^\circ<180^\circ|The opening is obtuse.
obtuse triangle|A triangle with one angle greater than 90°.|A triangle's angles are 104°, 39°, and 37°.|104^\circ+39^\circ+37^\circ=180^\circ|The 104-degree angle makes the triangle obtuse.
octagon|A polygon with eight sides.|Find the perimeter of a regular octagon with 6 cm sides.|P=8(6)=48\text{ cm}|Add eight equal side lengths.
odd number|An integer not divisible by 2.|Show that 53 is odd.|53=2(26)+1|Dividing by 2 leaves remainder 1.
odds|A comparison of favorable outcomes with unfavorable outcomes, often for equally likely cases.|A bag has 4 gold tokens and 7 silver tokens. Give the odds in favor of gold.|4:7|Odds compare gold with non-gold, not with all 11 tokens.
operation|A mathematical process such as addition, subtraction, multiplication, or division.|Identify the operations in 18 ÷ 3 + 4.|18\div3+4=10|Perform division before addition.
opposite leg|In a right triangle, the leg across from a specified acute angle.|An angle has opposite leg 9 and hypotenuse 15.|\sin\theta=\frac9{15}=\frac35|The opposite leg does not touch the chosen angle.
opposite numbers|Two numbers that sum to zero and lie equally far from zero in opposite directions.|A score change of +12 is reversed by what change?|12+(-12)=0|The opposite of 12 is −12.
order of operations|The conventions that determine which operations to perform first.|Evaluate 7 + 3(8 − 5)².|7+3(3^2)=7+27=34|Use parentheses, powers, multiplication, then addition.
ordered pair|Two values written in a specified order, often locating a point.|Compare the points (2, 6) and (6, 2).|(2,6)\ne(6,2)|Switching the order changes the location.
origin|The point where coordinate axes meet.|A robot returns to x = 0 and y = 0.|O=(0,0)|The robot is back at the origin.
orthographic drawing|A set of separate straight-on views of a three-dimensional object.|A block is 6 cm wide, 4 cm deep, and 3 cm tall.|\text{front}:6\times3,\quad\text{top}:6\times4|The front and top views show different pairs of dimensions.
ounce|A customary unit of weight; a fluid ounce is a different unit of volume.|Convert 2 pounds to ordinary weight ounces.|2\text{ lb}=32\text{ oz}|There are 16 weight ounces in one pound.
outcome|One possible result of an experiment.|Roll a die and flip a coin. Name one outcome.|(5,H)|A complete outcome records both results.
outlier|A data value unusually far from most other values.|Inspect 9, 10, 11, 11, 12, 45.|45\gg12|The value 45 is far from the cluster and is a possible outlier.
parabola|The curve formed by the graph of a quadratic function in a coordinate plane.|Locate the vertex of y = (x − 2)² + 1.|y=(x-2)^2+1\quad\Rightarrow\quad V=(2,1)|The squared part is smallest when x is 2.
parallel|Lines in the same plane that never intersect.|Compare y = 3x + 2 and y = 3x − 5.|m_1=m_2=3|Equal slopes and different intercepts make the lines parallel.
parallelogram|A quadrilateral with both pairs of opposite sides parallel.|A parallelogram has base 8 cm and perpendicular height 5 cm.|A=8(5)=40\text{ cm}^2|The height is perpendicular to the base, not necessarily a side length.
pentagon|A polygon with five sides.|Find the interior-angle sum of a pentagon.|(5-2)180^\circ=540^\circ|Three triangles account for the angle sum.
percent|A rate expressed per hundred.|A class completes 18 of 24 tasks. Express the completion rate as a percent.|\frac{18}{24}\cdot100\%=75\%|Three fourths is the same as seventy-five per hundred.
percent change|The change divided by the original amount, expressed as a percent.|A membership grows from 80 to 92. Find the percent change.|\frac{92-80}{80}\cdot100\%=15\%|The positive change is a 15% increase.
percent decrease|A decrease compared with the original amount, expressed as a percent.|A jacket's price drops from 60 dollars to 45 dollars.|\frac{60-45}{60}\cdot100\%=25\%|The denominator is the original price.
percent increase|An increase compared with the original amount, expressed as a percent.|A plant grows from 20 cm to 27 cm.|\frac{27-20}{20}\cdot100\%=35\%|The increase is 7 cm, which is 35% of the original height.
perfect square|An integer equal to the square of an integer.|Show that 144 is a perfect square.|12^2=144|A 12-by-12 array contains 144 unit squares.
perimeter|The total length of a closed figure's boundary.|A garden is 9 meters long and 4 meters wide. Find its perimeter.|P=2(9+4)=26\text{ m}|Add the lengths of all four edges.
permutation|An ordered selection of objects.|Choose a first-place and second-place winner from 6 runners.|6\cdot5=30|Order matters: first then second differs from second then first.
perpendicular|Meeting at a right angle.|Compare lines with slopes 2 and −1/2.|2\left(-\frac12\right)=-1|Nonvertical lines with negative reciprocal slopes are perpendicular.
perpendicular bisector|A line perpendicular to a segment through its midpoint.|Find the perpendicular bisector of a horizontal segment from (1, 3) to (7, 3).|x=4|The midpoint is (4, 3), and the bisector is vertical.
pi (π)|The constant ratio of a circle's circumference to its diameter.|A circle has diameter 9 cm. Write its circumference exactly.|C=9\pi\text{ cm}|Pi is irrational; using 3.14 would give an approximation.
pictograph|A graph using repeated symbols to represent counts.|In a reading chart, each book symbol represents 4 books. What do 6 symbols represent?|6(4)=24|Read the key before counting the symbols.
place value|The value contributed by a digit because of its position in a numeral.|What value does the digit 7 have in 8.073?|7\cdot\frac1{100}=0.07|The 7 is in the hundredths place.
plane|A flat two-dimensional surface extending indefinitely.|Points A, B, and C do not lie on one line.|\text{plane }ABC|Three noncollinear points determine one plane.
point symmetry|A figure's property of matching itself after a half turn about a point.|Rotate a parallelogram 180° about the intersection of its diagonals.|(x,y)\mapsto(-x,-y)|When the center is the origin, opposite points exchange places.
polygon|A closed plane figure formed from straight segments that meet only at their endpoints.|A closed shape has 6 straight sides. Is it a polygon?|n=6|Yes; it is a hexagon. A circle is not a polygon because its boundary is curved.
polyhedron|A solid bounded by polygonal faces.|A solid has two pentagonal faces and five rectangular faces.|F=2+5=7|All faces are polygons, so it is a polyhedron.
polynomial|A sum of terms involving constants and nonnegative integer powers of variables.|Classify 4x³ − 2x + 9.|4x^3-2x+9|It is a polynomial of degree 3 with three terms.
population|The entire group about which a statistical question is asked.|A survey studies all 620 students at a school.|N=620|All 620 students form the population, even if only some answer the survey.
positive numbers|Numbers greater than zero.|A hiker's elevation change is +45 meters.|45>0|The positive sign represents an increase in this context.
positive relationship|A pattern where larger values of one variable tend to accompany larger values of another.|At a fixed price, buying more tickets raises the total cost.|C=8n|Cost increases as the number of tickets increases.
positive slope|A slope greater than zero, so a line rises from left to right.|Find the slope through (2, 1) and (5, 7).|m=\frac{7-1}{5-2}=2|Each step right increases the height by 2.
pound|A customary weight unit equal to 16 ordinary ounces.|A parcel weighs 3.25 pounds. Express its weight in ounces.|3.25(16)=52\text{ oz}|Multiply pounds by 16.
power|An expression with a base and exponent, or the value it represents.|Evaluate the fourth power of 3.|3^4=81|The base is 3 and the exponent is 4.
precision|The fineness or consistency of a measurement, distinct from closeness to the true value.|Compare a length recorded as 12 cm with one recorded as 12.04 cm.|0.01\text{ cm}<1\text{ cm}|The second reports a finer measurement increment; that alone does not guarantee accuracy.
prime factor|A factor that is a prime number.|Find the prime factors appearing in 66.|66=2\cdot3\cdot11|Each of 2, 3, and 11 is prime.
prime factorization|Writing an integer greater than 1 as a product of prime numbers.|Find the prime factorization of 72.|72=2^3\cdot3^2|The final factors are all prime.
prime number|A positive integer greater than 1 with exactly two positive divisors.|Explain why 29 is prime.|\text{divisors of }29=\{1,29\}|No other positive integer divides 29 evenly.
principal|The initial amount borrowed or invested, before interest.|An account starts with 350 dollars and later earns 14 dollars of interest.|P=350,\quad A=364|The principal remains the original 350 dollars.
principal square root|The nonnegative square root of a nonnegative number, denoted by the radical symbol.|Evaluate the radical of 121.|\sqrt{121}=11|The radical alone means the nonnegative root, not both signs.
prism|A polyhedron with two congruent parallel polygonal bases connected by parallelogram faces.|A right prism has base area 18 cm² and height 5 cm.|V=18(5)=90\text{ cm}^3|A prism's volume is base area times perpendicular height.
probability|A number from 0 to 1 measuring the chance of an event.|A fair spinner has 8 equal sectors, 3 of them green.|P(G)=\frac38|Three of the eight equally likely outcomes are favorable.
product|The result of multiplication.|Seven boxes hold 12 pencils each. Find the product.|7(12)=84|The product gives the total of 84 pencils.
proportion|An equation stating that two ratios are equal.|A paint mix uses 2 parts blue to 5 parts white. How much blue matches 20 parts white?|\frac25=\frac{x}{20}\quad\Rightarrow\quad x=8|Scale both quantities by 4.
protractor|An instrument marked with angles for measuring or drawing them.|Draw a ray, place the protractor's center at its endpoint, and mark 65°.|\theta=65^\circ|Read the scale whose zero aligns with the starting ray.
pyramid|A solid with a polygonal base and triangular faces meeting at one vertex.|A pyramid has base area 24 cm² and perpendicular height 9 cm.|V=\frac13(24)(9)=72\text{ cm}^3|Use perpendicular height, not the slant height of a face.
Pythagorean Theorem|The square of a right triangle's hypotenuse equals the sum of the squares of its legs.|A rectangular courtyard is 9 m by 12 m. Find its diagonal.|d=\sqrt{9^2+12^2}=15\text{ m}|The diagonal is the hypotenuse of a right triangle.
quadrants|The four regions made by the axes of a coordinate plane.|Identify the quadrant containing (−4, −7).|x<0,\quad y<0|Both coordinates are negative, so the point lies in Quadrant III.
quadratic equation|An equation that can be written with a nonzero squared term as its highest variable power.|Solve x² − 25 = 0.|x^2=25\quad\Rightarrow\quad x=\pm5|Both 5 and −5 satisfy the equation.
quadratic function|A function of the form f(x) = ax² + bx + c with a nonzero.|Evaluate a quadratic area model at x = 4.|f(x)=x^2+3x,\quad f(4)=28|The squared term makes this a quadratic function.
quadrilateral|A polygon with four sides.|Find the fourth angle when a quadrilateral has angles 80°, 95°, and 110°.|360^\circ-80^\circ-95^\circ-110^\circ=75^\circ|A quadrilateral's interior angles total 360°.
quart|A customary capacity unit equal to one quarter of a US liquid gallon.|Convert 10 US liquid quarts to gallons.|10\div4=2.5\text{ gal}|Four quarts make one gallon.
quartile|One of the cut values dividing ordered data into four groups under a chosen convention.|Use median-of-halves quartiles for 1, 3, 5, 7, 9, 11, 13, 15.|Q_1=4,\quad Q_2=8,\quad Q_3=12|The middle quartile is the median; quartile conventions can differ for some data sets.
quotient|The result of division.|Divide 96 beads equally among 8 bracelets.|96\div8=12|The quotient is 12 beads per bracelet.
radical sign|The symbol used to indicate a root.|Read the expression for the cube root of 125.|\sqrt[3]{125}=5|The small 3 specifies a cube root; an omitted index means square root.
radius|A segment from a circle's center to its boundary, or its length.|A circular track has diameter 26 m. Find its radius.|r=26\div2=13\text{ m}|The radius is half the diameter.
random sample|A sample chosen using chance rather than deliberate preference.|Select 20 names using a random draw from 200 equally treated names.|P(\text{a particular name selected})=\frac{20}{200}=0.1|Each person has the same selection chance in this simple random sample.
range|For data, maximum minus minimum; for a function, the set of its possible outputs.|Find the statistical range of 6, 14, 9, 21.|21-6=15|Here 'range' means data spread, not a function's output set.
rate|A ratio comparing quantities with different units.|A printer makes 84 pages in 4 minutes.|\frac{84\text{ pages}}{4\text{ min}}=21\text{ pages/min}|The unit rate is 21 pages per minute.
ratio|A comparison of two quantities by division.|A basket holds 5 pears and 8 apples. Write the pear-to-apple ratio.|5:8|The order of the named quantities determines the order of the ratio.
rational number|A number expressible as a ratio of integers with a nonzero denominator.|Write 0.375 as a fraction.|0.375=\frac{375}{1000}=\frac38|This fraction representation shows that the number is rational.
ray|A straight path starting at one endpoint and continuing infinitely in one direction.|Name the ray starting at P and passing through Q.|\overrightarrow{PQ}|The first letter names the endpoint.
real numbers|All numbers on the ordinary number line, including rational and irrational numbers.|Classify −3, 2/7, and √5.|-3,\ \frac27,\ \sqrt5\in\mathbb R|All three are real, although √5 is irrational.
reciprocals|Two nonzero numbers whose product is 1.|Find the reciprocal of 9/4.|\frac94\cdot\frac49=1|The reciprocal is 4/9.
rectangle|A quadrilateral with four right angles.|A rectangle has length 11 cm and width 6 cm. Find its area.|A=11(6)=66\text{ cm}^2|Its opposite sides are equal and all corners are right angles.
reflection|A transformation that mirrors points across a line.|Reflect the point (5, −2) across the y-axis.|(5,-2)\mapsto(-5,-2)|The two points are equally far from the mirror line.
regular polygon|A polygon whose sides are all equal and whose interior angles are all equal.|Find each interior angle of a regular pentagon.|\frac{(5-2)180^\circ}{5}=108^\circ|Equal angles divide the total angle sum evenly.
relative position|A location described in relation to another object or point.|A cafe is 3 blocks east and 2 blocks north of the library.|\Delta x=3,\quad\Delta y=2|The library is the reference location for this description.
remainder|The amount left after whole-number division into equal groups.|Pack 53 balls into bags holding 8 each.|53=8(6)+5|Six bags are full, with remainder 5.
repeating decimal|A decimal with a digit or block that continues repeating forever.|Write 5/9 in decimal notation.|\frac59=0.\overline5|The bar means the digit 5 repeats without ending.
rhombus|A quadrilateral with all four sides equal.|A rhombus has diagonals 10 cm and 14 cm. Find its area.|A=\frac12(10)(14)=70\text{ cm}^2|Its perpendicular diagonals divide it into four right triangles.
right angle|An angle measuring exactly 90°.|A robot turns from facing north to facing east.|\theta=90^\circ|The quarter turn is a right angle.
right triangle|A triangle containing one 90° angle.|A triangle has sides 5, 12, and 13. Check whether it is right.|5^2+12^2=13^2|The equality confirms a right angle opposite the side of length 13.
rise|The vertical change between two points, often used in calculating slope.|Move from (2, 3) to (8, 7). Find the rise.|\Delta y=7-3=4|The vertical coordinate increases by 4.
rotation|A transformation that turns a figure about a fixed point.|Rotate (4, 1) 90° counterclockwise about the origin.|(4,1)\mapsto(-1,4)|A quarter turn uses the rule (x, y) → (−y, x).
rotational symmetry|A figure matches itself after some turn greater than 0° and less than 360°.|Find the smallest positive symmetry rotation of a regular hexagon.|360^\circ\div6=60^\circ|A 60-degree turn carries every vertex to the next vertex.
rounding|Replacing a number with a nearby value at a specified place.|Round 8.376 to the nearest hundredth.|8.376\approx8.38|The thousandths digit 6 rounds the hundredths digit upward.
run|The horizontal change between two points, often used in calculating slope.|Move from (−2, 5) to (4, 8). Find the run.|\Delta x=4-(-2)=6|The horizontal coordinate increases by 6.
sample|A subset of a population used to gather information.|A school of 900 students surveys 60 selected students.|n=60,\quad N=900|The 60 respondents form the sample; the school is the population.
sample space|The set of all possible outcomes of an experiment.|List all outcomes when two coins are flipped in order.|S=\{HH,HT,TH,TT\}|HT and TH differ because the coin positions are distinguished.
scale (graphical)|The numerical increment represented by equal distances on a graph axis.|An axis is labeled 0, 5, 10, 15 at equal spacing.|\Delta y=5\text{ per interval}|A point three intervals above zero represents 15.
scale (in scale drawings)|The relationship between drawing measurements and actual measurements.|A map uses 1 cm for 4 km. What does 6 cm represent?|6(4)=24\text{ km}|Use the stated map scale to interpret the drawing.
scale drawing|A drawing whose lengths are proportional to the corresponding actual lengths.|A 15 m room is drawn with a 5 cm side. Find the length represented by 1 cm.|15\div5=3\text{ m}|The scale is 1 cm to 3 m.
scale factor|The multiplier relating corresponding lengths in similar figures.|An image enlarges a 6 cm side to 15 cm.|k=\frac{15}{6}=2.5|Multiply every original length by 2.5.
scalene triangle|A triangle whose three side lengths are all different.|Classify a triangle with side lengths 6, 8, and 11.|6\ne8,\quad8\ne11,\quad6\ne11|All sides differ, so the triangle is scalene.
scatterplot|A coordinate display of paired numerical observations.|Plot study time and quiz score pairs (1, 62), (2, 71), (3, 79).|(1,62),\ (2,71),\ (3,79)|Each point records two measurements for one observation.
scientific notation|Writing a nonzero number as a coefficient of magnitude at least 1 and less than 10 times a power of ten.|Write 0.00072 in scientific notation.|0.00072=7.2\times10^{-4}|The negative exponent moves the decimal point four places left.
sector|A region of a circle bounded by two radii and the connecting arc.|Find the area of a 60° sector in a circle of radius 6 cm.|A=\frac{60}{360}\pi(6)^2=6\pi\text{ cm}^2|The sector is one sixth of the whole circle.
segment|A portion of a line bounded by two endpoints.|A segment on a number line goes from −5 to 4.|\ell=4-(-5)=9|Its length is 9 units.
segment bisector|A line, ray, segment, or plane that passes through a segment's midpoint.|A segment has endpoints at 2 and 14 on a number line. Where must a bisector pass?|M=\frac{2+14}{2}=8|A bisector must pass through 8, but need not be perpendicular.
